OBJECTID,VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,AtLeastOneDose,FullyVaccinated,FullVaccinatedCumulative,AtLeastOneDoseCumulative
2328,2021/03/01 15:00:00+00,Charles                                           ,462,18236,77,8715,,0,,,8715,18236
2329,2021/03/02 15:00:00+00,Charles                                           ,257,18493,117,8832,,0,,,8832,18493
2330,2021/03/03 15:00:00+00,Charles                                           ,534,19027,271,9103,2,2,536,273,9105,19029
2331,2021/03/04 15:00:00+00,Charles                                           ,304,19331,982,10085,28,30,332,1010,10115,19361
2332,2021/03/05 15:00:00+00,Charles                                           ,1207,20538,161,10246,61,91,1268,222,10337,20629
2333,2021/03/06 15:00:00+00,Charles                                           ,873,21411,44,10290,70,161,943,114,10451,21572
2334,2021/03/07 15:00:00+00,Charles                                           ,128,21539,62,10352,111,272,239,173,10624,21811
2335,2021/03/08 15:00:00+00,Charles                                           ,483,22022,135,10487,157,429,640,292,10916,22451
2336,2021/03/09 15:00:00+00,Charles                                           ,246,22268,604,11091,175,604,421,779,11695,22872
2337,2021/03/10 15:00:00+00,Charles                                           ,1179,23447,235,11326,197,801,1376,432,12127,24248
2338,2021/03/11 15:00:00+00,Charles                                           ,276,23723,1251,12577,47,848,323,1298,13425,24571
2339,2021/03/12 15:00:00+00,Charles                                           ,1025,24748,232,12809,103,951,1128,335,13760,25699
2340,2021/03/13 15:00:00+00,Charles                                           ,539,25287,89,12898,19,970,558,108,13868,26257
2341,2021/03/14 15:00:00+00,Charles                                           ,242,25529,90,12988,8,978,250,98,13966,26507
2342,2021/03/15 15:00:00+00,Charles                                           ,704,26233,226,13214,17,995,721,243,14209,27228
2343,2021/03/16 15:00:00+00,Charles                                           ,501,26734,133,13347,9,1004,510,142,14351,27738
2344,2021/03/17 15:00:00+00,Charles                                           ,1580,28314,218,13565,16,1020,1596,234,14585,29334
2345,2021/03/18 15:00:00+00,Charles                                           ,484,28798,178,13743,67,1087,551,245,14830,29885
2346,2021/03/19 15:00:00+00,Charles                                           ,937,29735,119,13862,11,1098,948,130,14960,30833
2347,2021/03/20 15:00:00+00,Charles                                           ,219,29954,92,13954,15,1113,234,107,15067,31067
2348,2021/03/21 15:00:00+00,Charles                                           ,270,30224,99,14053,4,1117,274,103,15170,31341
2349,2021/03/22 15:00:00+00,Charles                                           ,1457,31681,190,14243,20,1137,1477,210,15380,32818
