OBJECTID,DATE,Count_
215,2020/10/04 10:00:00+00,127290
216,2020/10/05 10:00:00+00,127791
217,2020/10/06 10:00:00+00,128204
218,2020/10/07 10:00:00+00,128664
219,2020/10/08 10:00:00+00,129425
220,2020/10/09 10:00:00+00,130159
221,2020/10/10 10:00:00+00,130795
222,2020/10/11 10:00:00+00,131357
223,2020/10/12 10:00:00+00,131861
224,2020/10/13 10:00:00+00,132343
225,2020/10/14 10:00:00+00,132918
226,2020/10/15 10:00:00+00,133548
227,2020/10/16 10:00:00+00,134329
228,2020/10/17 10:00:00+00,135127
229,2020/10/18 10:00:00+00,135657
230,2020/10/19 10:00:00+00,136154
231,2020/10/20 10:00:00+00,136744
232,2020/10/21 10:00:00+00,137236
233,2020/10/22 10:00:00+00,137979
234,2020/10/23 10:00:00+00,138691
235,2020/10/24 10:00:00+00,139487
236,2020/10/25 10:00:00+00,140279
237,2020/10/26 10:00:00+00,140844
238,2020/10/27 10:00:00+00,141741
239,2020/10/28 10:00:00+00,142425
240,2020/10/29 10:00:00+00,143387
241,2020/10/30 10:00:00+00,144314
242,2020/10/31 10:00:00+00,145281
243,2020/11/01 10:00:00+00,146145
244,2020/11/02 10:00:00+00,146995
245,2020/11/03 10:00:00+00,147766
246,2020/11/04 10:00:00+00,148766
247,2020/11/05 10:00:00+00,149964
248,2020/11/06 10:00:00+00,151505
249,2020/11/07 10:00:00+00,152915
250,2020/11/08 10:00:00+00,153996
251,2020/11/09 10:00:00+00,155371
252,2020/11/10 10:00:00+00,156709
253,2020/11/11 10:00:00+00,158423
254,2020/11/12 10:00:00+00,159900
255,2020/11/13 10:00:00+00,161769
256,2020/11/14 10:00:00+00,164090
257,2020/11/15 10:00:00+00,165930
258,2020/11/16 10:00:00+00,167656
259,2020/11/17 10:00:00+00,169805
260,2020/11/18 10:00:00+00,171823
261,2020/11/19 10:00:00+00,174733
262,2020/11/20 10:00:00+00,177086
263,2020/11/21 10:00:00+00,179971
264,2020/11/22 10:00:00+00,182139
265,2020/11/23 10:00:00+00,183797
266,2020/11/24 10:00:00+00,185464
267,2020/11/25 10:00:00+00,188161
268,2020/11/26 10:00:00+00,190480
269,2020/11/27 10:00:00+00,192858
270,2020/11/28 10:00:00+00,194448
271,2020/11/29 10:00:00+00,196447
272,2020/11/30 10:00:00+00,198370
273,2020/12/01 10:00:00+00,201135
274,2020/12/02 10:00:00+00,203355
275,2020/12/03 10:00:00+00,205399
276,2020/12/04 10:00:00+00,209191
277,2020/12/05 10:00:00+00,212384
278,2020/12/06 10:00:00+00,215027
